Title_name,Title_list1_Image,Title_list1_cal,Title_list1_carbs,Title_list1_Fats,Title_list1_Prot,Title_list1_Sugar
"Spinach
Frozen, chopped or leaf, unprepared",https://images.eatthismuch.com/thmb/2174_ldementhon_64ab9428-3940-4205-90df-5f79d47698a7.png,45,6.6 g,0.9 g,5.7 g,4.5 g
"Cherry tomatoes
Red, ripe, raw, year round average",https://images.eatthismuch.com/thmb/1221840_ldementhon_45cab1fc-8413-4452-8c8a-2cd7f8434586.jpg,27,5.8 g,0.3 g,1.3 g,1.8 g
"Ground turkey
Poultry food products, raw",https://images.eatthismuch.com/thmb/581_Hugo4488_68a337ef-0d9f-472e-880c-bd6581349e2b.png,42,0 g,2.2 g,5.6 g,0 g
"Grape tomatoes
Red, ripe, raw, year round average",https://images.eatthismuch.com/thmb/1221838_ldementhon_c727afc1-8dfe-4fef-ad44-0468af0da4a9.jpg,27,5.8 g,0.3 g,1.3 g,1.8 g
"Parsley
Spices, dried",https://images.eatthismuch.com/thmb/204_jma92114_d9c634f5-d97b-4435-9ed3-af4b9c66b8dd.jpg,5,0.8 g,0.1 g,0.4 g,0.4 g
"Parsnips
Raw",https://images.eatthismuch.com/thmb/2058_hopscotch_queen_86803f38-5577-4b16-8659-46d27691347a.png,75,18.0 g,0.3 g,1.2 g,4.9 g
"Reese's peanut butter cups
Candies",https://images.eatthismuch.com/thmb/4523_erin_m_c632afb1-f704-43c0-9b1e-ed68f8f4df62.png,232,24.9 g,13.7 g,4.6 g,1.6 g
"Lowfat milk
Fluid, 1% milkfat, with added vitamin a and vitamin d",https://images.eatthismuch.com/thmb/70_ldementhon_f72a4d5c-e29d-473d-83d8-e459895201b9.jpg,102,12.2 g,2.4 g,8.2 g,0 g
"Apples
With skin",https://images.eatthismuch.com/thmb/1300_erin_m_3f568a13-617f-461e-b7ef-a64d4b2745e5.png,95,25.1 g,0.3 g,0.5 g,4.4 g
"Asparagus
Raw",https://images.eatthismuch.com/thmb/1838_erin_m_3392afa9-b1be-4575-8b47-446ec02e077d.png,3,0.6 g,0.0 g,0.4 g,0.3 g
"Barbara Dee, Winter Mints Cookies",https://images.eatthismuch.com/missing_thumbnail1.png,160,20.8 g,8.1 g,1.2 g,0.6 g
"Beef, New Zealand, imported, brisket point end, separable lean and fat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,186,0 g,10.5 g,22.9 g,0 g
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,393,0 g,35.6 g,18.0 g,0 g
"Beef, New Zealand, imported, brisket navel end, separable lean and fat, cooked, braised",https://images.eatthismuch.com/missing_thumbnail1.png,385,0 g,35.1 g,17.1 g,0 g
"Beef, New Zealand, imported, bolar blade, separable lean and fat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,181,0 g,9.4 g,24.3 g,0 g
"Beef, New Zealand, imported, flat, separable lean and fat, cooked, braised",https://images.eatthismuch.com/missing_thumbnail1.png,214,0 g,11.7 g,27.1 g,0 g
"Beef, New Zealand, imported, eye round, separable lean and fat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,146,1.5 g,5.6 g,22.5 g,0 g
"Beef, New Zealand, imported, eye round, separable lean and fat, cooked, slow roasted",https://images.eatthismuch.com/missing_thumbnail1.png,143,0 g,4.7 g,25.1 g,0 g
"Beef, New Zealand, imported, cube roll, separable lean only, raw",https://images.eatthismuch.com/missing_thumbnail1.png,184,1.6 g,9.7 g,22.5 g,0 g
"Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select
raw",https://images.eatthismuch.com/missing_thumbnail1.png,196,0 g,14.4 g,16.6 g,0 g
"Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice
raw",https://images.eatthismuch.com/missing_thumbnail1.png,215,0 g,17.0 g,15.6 g,0 g
"Beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",https://images.eatthismuch.com/missing_thumbnail1.png,147,0 g,8.5 g,17.8 g,0 g
"Famous Amos, Chocolate Chip Cookies",https://images.eatthismuch.com/thmb/440227_Jkelpo_eeb3a1bf-7427-45f2-b55b-275f08f1b337.jpg,146,19.6 g,7.0 g,1.3 g,0.8 g
"hamburger; single, regular patty; double decker bun with condiments and special sauce
Fast foods",https://images.eatthismuch.com/missing_thumbnail1.png,531,46.5 g,27.3 g,24.9 g,2.9 g
"hamburger; single, large patty; with condiments, vegetables and mayonnaise
Fast foods",https://images.eatthismuch.com/missing_thumbnail1.png,558,42.8 g,30.6 g,28.0 g,3.7 g
"hamburger, large, single patty, with condiments
Fast foods",https://images.eatthismuch.com/missing_thumbnail1.png,438,37.9 g,19.8 g,26.8 g,1.9 g
"miniature cinnamon rolls
Fast foods",https://images.eatthismuch.com/missing_thumbnail1.png,101,13.3 g,4.5 g,1.8 g,0.6 g
"vanilla, light, soft-serve ice cream, with cone
Fast foods",https://images.eatthismuch.com/missing_thumbnail1.png,196,31.6 g,5.8 g,5.1 g,0.1 g
"taco with chicken, lettuce and cheese, soft
Fast foods",https://images.eatthismuch.com/missing_thumbnail1.png,185,19.3 g,6.2 g,13.0 g,1.2 g
"roast beef sandwich, classic
Arby's",https://images.eatthismuch.com/thmb/433918_risaleobu_6fc6f089-d9d9-460a-b122-2d9e7376c2e8.jpeg,361,33.1 g,15.3 g,22.6 g,1.9 g
"Oil, flaxseed, contains added sliced flaxseed",https://images.eatthismuch.com/missing_thumbnail1.png,61,0.0 g,6.9 g,0.0 g,0 g
"Oil, industrial, coconut (hydrogenated), used for whipped toppings and coffee whiteners",https://images.eatthismuch.com/missing_thumbnail1.png,53,0 g,6.0 g,0 g,0 g
"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",https://images.eatthismuch.com/missing_thumbnail1.png,53,0 g,6 g,0 g,0 g
"Oil, industrial, soy, refined, for woks and light frying",https://images.eatthismuch.com/missing_thumbnail1.png,53,0 g,6 g,0 g,0 g
"Oil, industrial, soy, low linolenic",https://images.eatthismuch.com/missing_thumbnail1.png,126,0 g,14 g,0 g,0 g
"Oil, industrial, palm kernel (hydrogenated), confection fat, uses similar to 95 degree hard butter",https://images.eatthismuch.com/missing_thumbnail1.png,53,0 g,6 g,0 g,0 g
"Oil, industrial, mid-oleic, sunflower",https://images.eatthismuch.com/missing_thumbnail1.png,53,0 g,6 g,0 g,0 g
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",https://images.eatthismuch.com/missing_thumbnail1.png,122,28.7 g,0.3 g,1.7 g,0.7 g
"Oscar Mayer, Wieners (beef franks)",https://images.eatthismuch.com/missing_thumbnail1.png,148,1.3 g,13.6 g,5.1 g,0 g
"Oscar Mayer, Bologna (beef)",https://images.eatthismuch.com/missing_thumbnail1.png,88,0.7 g,8.1 g,3.1 g,0 g
"Pancakes, plain, reduced fat",https://images.eatthismuch.com/missing_thumbnail1.png,282,60.2 g,2.0 g,6.0 g,1.1 g
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry",https://images.eatthismuch.com/missing_thumbnail1.png,329,66.7 g,2.3 g,12.0 g,10.3 g
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,105,3.9 g,4.6 g,11.8 g,0 g
"Pork, cured, ham and water product, slice, bone-in, separable lean only, unheated",https://images.eatthismuch.com/missing_thumbnail1.png,88,2.4 g,3.2 g,12.3 g,0 g
"Pork, cured, ham and water product, slice, bone-in, separable lean only, heated, pan-broil",https://images.eatthismuch.com/missing_thumbnail1.png,104,1.1 g,3.1 g,17.8 g,0 g
"Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,112,1.1 g,3.8 g,18.4 g,0 g
"Pork, cured, ham and water product, shank, bone-in, separable lean and fat, heated, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,199,1.2 g,14.7 g,15.5 g,0 g
"Pork, cured, ham and water product, rump, bone-in, separable lean and fat, unheated",https://images.eatthismuch.com/missing_thumbnail1.png,63,0.5 g,4.2 g,5.6 g,0 g
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated",https://images.eatthismuch.com/missing_thumbnail1.png,41,1.5 g,1.7 g,4.9 g,0 g
"Pork, cured, ham, separable fat, boneless, heated",https://images.eatthismuch.com/missing_thumbnail1.png,431,1.7 g,43.8 g,7.5 g,0 g
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw",https://images.eatthismuch.com/missing_thumbnail1.png,250,0 g,15.0 g,28.4 g,0 g
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked
broiled",https://images.eatthismuch.com/missing_thumbnail1.png,182,0 g,6.1 g,31.7 g,0 g
"Prego Pasta, Chunky Garden Tomato, Onion and Garlic Italian Sauce, ready-to-serve",https://images.eatthismuch.com/missing_thumbnail1.png,94,13.5 g,3.1 g,2.1 g,3.1 g
"Austin, Cheddar Cheese on Cheese Crackers, sandwich-type, reduced fat",https://images.eatthismuch.com/missing_thumbnail1.png,166,24.5 g,6.3 g,2.8 g,0.5 g
"Austin, Pb & J Crackers, sandwich-type",https://images.eatthismuch.com/missing_thumbnail1.png,189,25.6 g,8.5 g,3.0 g,0.8 g
"Beef, Australian, imported, Wagyu, loin, top loin steak/roast, boneless, separable lean only, raw
Aust. marble score 9",https://images.eatthismuch.com/missing_thumbnail1.png,377,0.1 g,33.2 g,19.3 g,0 g
"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",https://images.eatthismuch.com/missing_thumbnail1.png,134,0 g,7.2 g,17.5 g,0 g
"Beef, Australian, imported, Wagyu, seam fat, Aust. marble score 9, raw",https://images.eatthismuch.com/missing_thumbnail1.png,176,0 g,18.9 g,1.4 g,0 g
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat
select, cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,178,0 g,9.7 g,22.6 g,0 g
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, all grades, raw",https://images.eatthismuch.com/missing_thumbnail1.png,119,0 g,4.6 g,18.8 g,0 g
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, all grades, cooked",https://images.eatthismuch.com/missing_thumbnail1.png,221,0 g,9.3 g,33.0 g,0 g
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, cooked",https://images.eatthismuch.com/missing_thumbnail1.png,208,0 g,12.8 g,22.2 g,0 g
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, select, cooked",https://images.eatthismuch.com/missing_thumbnail1.png,173,0 g,7.8 g,24.3 g,0 g
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, select, cooked",https://images.eatthismuch.com/missing_thumbnail1.png,142,0 g,5.4 g,23.4 g,0 g
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, choice, raw",https://images.eatthismuch.com/missing_thumbnail1.png,168,0 g,6.9 g,25.1 g,0 g
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",https://images.eatthismuch.com/missing_thumbnail1.png,121,0 g,5.1 g,18.7 g,0 g
"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",https://images.eatthismuch.com/missing_thumbnail1.png,128,0 g,6.0 g,18.3 g,0 g
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select
raw",https://images.eatthismuch.com/missing_thumbnail1.png,128,0 g,5.7 g,19.4 g,0 g
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice
cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,161,0.9 g,6.8 g,24.0 g,0 g
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select
cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,156,0 g,6.2 g,25.2 g,0 g
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice
cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,177,0 g,8.8 g,24.4 g,0 g
"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked
roasted",https://images.eatthismuch.com/missing_thumbnail1.png,196,0 g,11.6 g,23.1 g,0 g
"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked
roasted",https://images.eatthismuch.com/missing_thumbnail1.png,247,0 g,18.6 g,19.9 g,0 g
"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades
cooked, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,255,0 g,19.5 g,19.9 g,0 g
"Beef, ribeye petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",https://images.eatthismuch.com/missing_thumbnail1.png,106,0 g,3.2 g,19.5 g,0 g
"Beef, ribeye petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",https://images.eatthismuch.com/missing_thumbnail1.png,113,0.0 g,4.0 g,19.3 g,0 g
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades
cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,230,0 g,16.2 g,21.1 g,0 g
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked
grilled",https://images.eatthismuch.com/missing_thumbnail1.png,195,0 g,11.4 g,23.0 g,0 g
"Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw",https://images.eatthismuch.com/missing_thumbnail1.png,127,0 g,5.6 g,18.0 g,0 g
"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades
cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,247,0 g,18.5 g,20.1 g,0 g
"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, raw",https://images.eatthismuch.com/missing_thumbnail1.png,138,0 g,7.2 g,18.2 g,0 g
"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",https://images.eatthismuch.com/missing_thumbnail1.png,131,0 g,6.3 g,18.6 g,0 g
"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked
grilled",https://images.eatthismuch.com/missing_thumbnail1.png,183,0 g,10.0 g,23.3 g,0 g
"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked
grilled",https://images.eatthismuch.com/missing_thumbnail1.png,175,0 g,8.8 g,23.9 g,0 g
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, raw",https://images.eatthismuch.com/missing_thumbnail1.png,177,0 g,12.0 g,17.1 g,0 g
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",https://images.eatthismuch.com/missing_thumbnail1.png,105,0 g,2.8 g,20.1 g,0 g
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked
roasted",https://images.eatthismuch.com/thmb/493734_simmyras_7b4f1c7f-f65f-437d-9d4b-396b5ff29506.png,138,0 g,3.2 g,25.6 g,0 g
"Turkey, retail parts, thigh, meat and skin, cooked, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,156,0.3 g,8.1 g,20.4 g,0 g
"Turkey, retail parts, drumstick, meat only, raw",https://images.eatthismuch.com/missing_thumbnail1.png,100,0 g,3.4 g,17.4 g,0 g
"Turkey, retail parts, drumstick, meat and skin, cooked, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,167,0 g,8.0 g,24.0 g,0 g
"Turkey, retail parts, breast, meat and skin, with added solution, raw",https://images.eatthismuch.com/missing_thumbnail1.png,122,0.0 g,5.7 g,17.7 g,0 g
"Veal, ground, cooked, pan-fried",https://images.eatthismuch.com/missing_thumbnail1.png,183,1.3 g,10.0 g,22.0 g,0 g
"Veal, Australian, shank, hind, bone-in, separable lean only, raw",https://images.eatthismuch.com/missing_thumbnail1.png,104,0 g,3.8 g,17.3 g,0 g
"Wheat flour, white (industrial), 13% protein, bleached, unenriched",https://images.eatthismuch.com/missing_thumbnail1.png,362,72.2 g,1.4 g,13.1 g,2.4 g
"Wheat flour, white (industrial), 10% protein, bleached, unenriched",https://images.eatthismuch.com/missing_thumbnail1.png,366,76.2 g,1.5 g,9.7 g,2.4 g
"Wheat flour, white (industrial), 13% protein, bleached, enriched",https://images.eatthismuch.com/missing_thumbnail1.png,362,72.2 g,1.4 g,13.1 g,2.4 g
"Wheat flour, white (industrial), 10% protein, bleached, enriched",https://images.eatthismuch.com/missing_thumbnail1.png,366,76.2 g,1.5 g,9.7 g,2.4 g
"Smart Soup, Moroccan Chick Pea",https://images.eatthismuch.com/missing_thumbnail1.png,144,27.5 g,3.0 g,5.7 g,8.8 g
"Smart Soup, Greek Minestrone",https://images.eatthismuch.com/missing_thumbnail1.png,113,23.8 g,1.5 g,4.8 g,7.6 g
"Snacks, corn-based, extruded, onion-flavor",https://images.eatthismuch.com/missing_thumbnail1.png,175,22.8 g,7.9 g,2.7 g,1.4 g
"Snacks, corn-based, extruded, chips, unsalted",https://images.eatthismuch.com/missing_thumbnail1.png,490,50.5 g,29.4 g,5.8 g,3.9 g
"Snacks, granola bar, Quaker, Dipps, all flavors",https://images.eatthismuch.com/thmb/507386_Willow618_65874f2d-82fa-4389-9dd9-8a8af348848c.jpg,149,20.1 g,6.3 g,2.3 g,1.0 g
"Snacks, granola bar, General Mills, Nature Valley, with yogurt coating",https://images.eatthismuch.com/missing_thumbnail1.png,148,26.0 g,4.0 g,2.0 g,1.5 g
"Snacks, fruit leather, pieces, with vitamin C",https://images.eatthismuch.com/missing_thumbnail1.png,78,17.9 g,0.7 g,0.0 g,0.7 g
"Snacks, Kellogg, Kellogg's Low Fat Granola Bar, Crunchy Almond/Brown Sugar",https://images.eatthismuch.com/missing_thumbnail1.png,144,28.9 g,2.7 g,3.0 g,2.3 g
"Sunshine, Cheez-It, Cheddar Jack Crackers",https://images.eatthismuch.com/missing_thumbnail1.png,138,17.3 g,6.6 g,2.9 g,0.7 g
"Turkey, all classes, breast, meat and skin, raw",https://images.eatthismuch.com/missing_thumbnail1.png,229,0 g,10.2 g,32.0 g,0 g
"Turkey, all classes, breast, meat and skin, cooked, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,212,0 g,8.3 g,32.2 g,0 g
"Turkey, whole, meat only, with added solution, raw",https://images.eatthismuch.com/missing_thumbnail1.png,89,0.1 g,2.0 g,17.7 g,0 g
"Turkey, thigh, from whole bird, meat only, with added solution, raw",https://images.eatthismuch.com/missing_thumbnail1.png,98,0.1 g,3.5 g,16.4 g,0 g
"Usda Commodity, pork, ground, fine/coarse, frozen, raw",https://images.eatthismuch.com/missing_thumbnail1.png,250,0 g,19.4 g,17.4 g,0 g
"Usda Commodity, pork, cured, ham, boneless, cooked, heated",https://images.eatthismuch.com/missing_thumbnail1.png,52,0 g,2.7 g,6.6 g,0 g
"Usda Commodity, luncheon meat, canned",https://images.eatthismuch.com/missing_thumbnail1.png,85,0.5 g,5.7 g,7.9 g,0 g
"Usda Commodity, beef, ground, bulk/coarse ground, frozen, raw",https://images.eatthismuch.com/missing_thumbnail1.png,194,0 g,14.5 g,14.8 g,0 g
"Usda Commodity, beef, ground bulk/coarse ground, frozen, cooked",https://images.eatthismuch.com/missing_thumbnail1.png,91,0 g,5.7 g,9.1 g,0 g
"Veal, loin, chop, separable lean and fat, cooked, grilled",https://images.eatthismuch.com/missing_thumbnail1.png,168,0.1 g,8.1 g,23.8 g,0 g
"Veal, seam fat only, cooked",https://images.eatthismuch.com/missing_thumbnail1.png,505,2.1 g,50.2 g,11.2 g,0 g
"black forest ham sub on white bread with lettuce and tomato
Subway",https://images.eatthismuch.com/missing_thumbnail1.png,278,42.2 g,4.7 g,16.8 g,2.4 g
"Cottonseed flour
Seeds, low fat (glandless)",https://images.eatthismuch.com/images/food_icons_v3/flour.png,94,10.2 g,0.4 g,14.1 g,0 g
"Beef, rib
Shortribs, separable lean only, choice, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,49,0 g,2.9 g,5.4 g,0 g
"Beef brain
Variety meats and by-products, cooked, pan-fried",https://images.eatthismuch.com/images/food_icons_v3/steak.png,167,0 g,13.5 g,10.7 g,0 g
"Beef thymus
Variety meats and by-products, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,267,0 g,23.0 g,13.8 g,0 g
"Cured beef, breakfast strips
Cooked",https://images.eatthismuch.com/images/food_icons_v3/steak.png,153,0.5 g,11.7 g,10.6 g,0 g
"Beef rib
Small end (ribs 10-12), separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,164,0 g,6.4 g,25.0 g,0 g
"Beef rib
Small end (ribs 10-12), separable lean only, trimmed to 0"" fat, choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,191,0 g,9.9 g,23.8 g,0 g
"Beef round
Bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,388,0 g,13.8 g,61.6 g,0 g
"Beef round
Bottom round, steak, separable lean only, trimmed to 0"" fat, select, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,369,0 g,11.3 g,62.5 g,0 g
"Beef round
Tip round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,160,0 g,7.0 g,22.8 g,0 g
"Beef tenderloin
Steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,266,0 g,11.4 g,38.4 g,0 g
"Beef short loin
Top loin, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,382,0 g,20.5 g,46.2 g,0 g
"Beef short loin
Top loin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,346,0 g,15.6 g,47.9 g,0 g
"Beef short loin
Porterhouse steak, separable lean only, trimmed to 0"" fat, usda choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,190,0 g,10.9 g,21.7 g,0 g
"Beef short loin
T-bone steak, separable lean and fat, trimmed to 0"" fat, usda choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,219,0 g,14.7 g,20.4 g,0 g
"Beef round
Tip round, separable lean and fat, trimmed to 0"" fat, select, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,145,0 g,6.3 g,20.8 g,0 g
"Ground beef
70% lean meat / 30% fat, crumbles, cooked, pan-browned",https://images.eatthismuch.com/images/food_icons_v3/steak.png,224,0 g,15.2 g,21.7 g,0 g
"Ground beef
70% lean meat / 30% fat, loaf, cooked, baked",https://images.eatthismuch.com/images/food_icons_v3/steak.png,68,0 g,4.4 g,6.8 g,0 g
"Beef brisket
Point half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,75,0 g,5.9 g,5.0 g,0 g
"Beef rib
Whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,91,0 g,7.9 g,4.6 g,0 g
"Beef rib
Whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,82,0 g,6.8 g,4.7 g,0 g
"Beef rib
Whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,268,0 g,20.6 g,19.3 g,0 g
"Beef rib
Whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,101,0 g,9.0 g,4.6 g,0 g
"Beef rib
Large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,90,0 g,7.7 g,4.6 g,0 g
"Beef rib
Large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,94,0 g,8.3 g,4.5 g,0 g
"Beef rib
Large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,315,0 g,26.5 g,17.7 g,0 g
"Beef rib
Large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,283,0 g,22.0 g,19.9 g,0 g
"Beef rib
Small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,247,0 g,17.0 g,22.0 g,0 g
"Beef rib
Small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,305,0 g,24.8 g,18.9 g,0 g
"Beef round
Bottom round, separable lean and fat, trimmed to 1/8"" fat, select, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,53,0 g,3.1 g,5.9 g,0 g
"Beef round
Bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,180,0 g,9.2 g,22.8 g,0 g
"Beef round
Eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,180,0 g,8.5 g,24.2 g,0 g
"Beef round
Tip round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,194,0 g,10.5 g,23.2 g,0 g
"Beef round
Tip round, separable lean and fat, trimmed to 1/8"" fat, select, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,50,0 g,2.9 g,5.6 g,0 g
"Beef round
Top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,171,0 g,6.6 g,26.0 g,0 g
"Beef short loin
T-bone steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,250,0 g,18.0 g,20.6 g,0 g
"Beef short loin
Top loin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,224,0 g,14.3 g,22.5 g,0 g
"Beef short loin
Top loin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,213,0 g,12.8 g,22.7 g,0 g
"Beef short loin
Top loin, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,264,0 g,18.8 g,22.0 g,0 g
"Beef tenderloin
Separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,275,0 g,20.9 g,20.3 g,0 g
"Peas and onions
Frozen, unprepared",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,199,38.4 g,0.9 g,11.3 g,9.9 g
